Cycles	Run	Rn
263	23	cdh7a*A7_scr2_1	1.6583
264	24	cdh7a*A7_scr2_1	1.7029
265	25	cdh7a*A7_scr2_1	1.7021
266	26	cdh7a*A7_scr2_1	1.6988
267	27	cdh7a*A7_scr2_1	1.7016
268	28	cdh7a*A7_scr2_1	1.7014
269	29	cdh7a*A7_scr2_1	1.7072
270	30	cdh7a*A7_scr2_1	1.7201
271	31	cdh7a*A7_scr2_1	1.7403
272	32	cdh7a*A7_scr2_1	1.7815
273	33	cdh7a*A7_scr2_1	1.8652
274	34	cdh7a*A7_scr2_1	2.0272
275	35	cdh7a*A7_scr2_1	2.3108
276	36	cdh7a*A7_scr2_1	2.7141
277	37	cdh7a*A7_scr2_1	3.184
278	38	cdh7a*A7_scr2_1	3.6566
279	39	cdh7a*A7_scr2_1	4.1073
280	40	cdh7a*A7_scr2_1	4.4874
281	1	cdh7a*A8_scr2_1	1.6646
282	2	cdh7a*A8_scr2_1	1.6578
283	3	cdh7a*A8_scr2_1	1.654
284	4	cdh7a*A8_scr2_1	1.6468
285	5	cdh7a*A8_scr2_1	1.644
286	6	cdh7a*A8_scr2_1	1.6407
287	7	cdh7a*A8_scr2_1	1.639
288	8	cdh7a*A8_scr2_1	1.6378
289	9	cdh7a*A8_scr2_1	1.6371
290	10	cdh7a*A8_scr2_1	1.6353
291	11	cdh7a*A8_scr2_1	1.6341
292	12	cdh7a*A8_scr2_1	1.6353
293	13	cdh7a*A8_scr2_1	1.6333
294	14	cdh7a*A8_scr2_1	1.6326
295	15	cdh7a*A8_scr2_1	1.6331
296	16	cdh7a*A8_scr2_1	1.6334
297	17	cdh7a*A8_scr2_1	1.6325
298	18	cdh7a*A8_scr2_1	1.6328
299	19	cdh7a*A8_scr2_1	1.6328
300	20	cdh7a*A8_scr2_1	1.6352
301	21	cdh7a*A8_scr2_1	1.6336
302	22	cdh7a*A8_scr2_1	1.634
303	23	cdh7a*A8_scr2_1	1.6337
304	24	cdh7a*A8_scr2_1	1.634
305	25	cdh7a*A8_scr2_1	1.6346
306	26	cdh7a*A8_scr2_1	1.6357
307	27	cdh7a*A8_scr2_1	1.6357
308	28	cdh7a*A8_scr2_1	1.6376
309	29	cdh7a*A8_scr2_1	1.6413
310	30	cdh7a*A8_scr2_1	1.6506
311	31	cdh7a*A8_scr2_1	1.6636
312	32	cdh7a*A8_scr2_1	1.6925
313	33	cdh7a*A8_scr2_1	1.7475
314	34	cdh7a*A8_scr2_1	1.8555
315	35	cdh7a*A8_scr2_1	2.0621
316	36	cdh7a*A8_scr2_1	2.3823
317	37	cdh7a*A8_scr2_1	2.7859
318	38	cdh7a*A8_scr2_1	3.2147
319	39	cdh7a*A8_scr2_1	3.6336
320	40	cdh7a*A8_scr2_1	4.001
321	1	cdh7a*A9_scr2_1	1.811
322	2	cdh7a*A9_scr2_1	1.7936
323	3	cdh7a*A9_scr2_1	1.7843
324	4	cdh7a*A9_scr2_1	1.7705
325	5	cdh7a*A9_scr2_1	1.7585
326	6	cdh7a*A9_scr2_1	1.7547
327	7	cdh7a*A9_scr2_1	1.7428
328	8	cdh7a*A9_scr2_1	1.7381
329	9	cdh7a*A9_scr2_1	1.7362
330	10	cdh7a*A9_scr2_1	1.7259
331	11	cdh7a*A9_scr2_1	1.7232
332	12	cdh7a*A9_scr2_1	1.714
333	13	cdh7a*A9_scr2_1	1.717
334	14	cdh7a*A9_scr2_1	1.7102
335	15	cdh7a*A9_scr2_1	1.6541
336	16	cdh7a*A9_scr2_1	1.6558
337	17	cdh7a*A9_scr2_1	1.6503
338	18	cdh7a*A9_scr2_1	1.6457
339	19	cdh7a*A9_scr2_1	1.6437
340	20	cdh7a*A9_scr2_1	1.6472
341	21	cdh7a*A9_scr2_1	1.6526
342	22	cdh7a*A9_scr2_1	1.6511
343	23	cdh7a*A9_scr2_1	1.6462
344	24	cdh7a*A9_scr2_1	1.6497
345	25	cdh7a*A9_scr2_1	1.6475
346	26	cdh7a*A9_scr2_1	1.6502
347	27	cdh7a*A9_scr2_1	1.6549
348	28	cdh7a*A9_scr2_1	1.6557
349	29	cdh7a*A9_scr2_1	1.6607
350	30	cdh7a*A9_scr2_1	1.6692
351	31	cdh7a*A9_scr2_1	1.696
352	32	cdh7a*A9_scr2_1	1.7349
353	33	cdh7a*A9_scr2_1	1.82
354	34	cdh7a*A9_scr2_1	1.9842
355	35	cdh7a*A9_scr2_1	2.2611
356	36	cdh7a*A9_scr2_1	2.6528
357	37	cdh7a*A9_scr2_1	3.1084
358	38	cdh7a*A9_scr2_1	3.5496
359	39	cdh7a*A9_scr2_1	3.9631
360	40	cdh7a*A9_scr2_1	4.3306
361	1	cdh7a*A10_scr2_2	1.5733
362	2	cdh7a*A10_scr2_2	1.5664
363	3	cdh7a*A10_scr2_2	1.563
364	4	cdh7a*A10_scr2_2	1.5596
365	5	cdh7a*A10_scr2_2	1.5562
366	6	cdh7a*A10_scr2_2	1.5522
367	7	cdh7a*A10_scr2_2	1.551
368	8	cdh7a*A10_scr2_2	1.5501
369	9	cdh7a*A10_scr2_2	1.5507
370	10	cdh7a*A10_scr2_2	1.55
371	11	cdh7a*A10_scr2_2	1.5495
372	12	cdh7a*A10_scr2_2	1.601
373	13	cdh7a*A10_scr2_2	1.6002
374	14	cdh7a*A10_scr2_2	1.5987
375	15	cdh7a*A10_scr2_2	1.5986
376	16	cdh7a*A10_scr2_2	1.5979
377	17	cdh7a*A10_scr2_2	1.5976
378	18	cdh7a*A10_scr2_2	1.5993
379	19	cdh7a*A10_scr2_2	1.5966
380	20	cdh7a*A10_scr2_2	1.5971
381	21	cdh7a*A10_scr2_2	1.5958
382	22	cdh7a*A10_scr2_2	1.5973
