Cycles	Run	Rn
193	33	gapdh*A5_cdh1_2	1.097
194	34	gapdh*A5_cdh1_2	1.1086
195	35	gapdh*A5_cdh1_2	1.1296
196	36	gapdh*A5_cdh1_2	1.171
197	37	gapdh*A5_cdh1_2	1.2553
198	38	gapdh*A5_cdh1_2	1.4122
199	39	gapdh*A5_cdh1_2	1.6471
200	40	gapdh*A5_cdh1_2	1.9312
201	1	gapdh*A6_cdh1_2	1.0181
202	2	gapdh*A6_cdh1_2	1.0206
203	3	gapdh*A6_cdh1_2	1.0457
204	4	gapdh*A6_cdh1_2	1.0477
205	5	gapdh*A6_cdh1_2	1.0479
206	6	gapdh*A6_cdh1_2	1.0494
207	7	gapdh*A6_cdh1_2	1.0476
208	8	gapdh*A6_cdh1_2	1.0474
209	9	gapdh*A6_cdh1_2	1.0478
210	10	gapdh*A6_cdh1_2	1.0464
211	11	gapdh*A6_cdh1_2	1.0464
212	12	gapdh*A6_cdh1_2	1.0456
213	13	gapdh*A6_cdh1_2	1.0453
214	14	gapdh*A6_cdh1_2	1.0445
215	15	gapdh*A6_cdh1_2	1.0451
216	16	gapdh*A6_cdh1_2	1.044
217	17	gapdh*A6_cdh1_2	1.0444
218	18	gapdh*A6_cdh1_2	1.045
219	19	gapdh*A6_cdh1_2	1.0448
220	20	gapdh*A6_cdh1_2	1.0462
221	21	gapdh*A6_cdh1_2	1.0437
222	22	gapdh*A6_cdh1_2	1.0441
223	23	gapdh*A6_cdh1_2	1.0432
224	24	gapdh*A6_cdh1_2	1.0438
225	25	gapdh*A6_cdh1_2	1.0433
226	26	gapdh*A6_cdh1_2	1.0439
227	27	gapdh*A6_cdh1_2	1.0441
228	28	gapdh*A6_cdh1_2	1.0439
229	29	gapdh*A6_cdh1_2	1.0454
230	30	gapdh*A6_cdh1_2	1.0457
231	31	gapdh*A6_cdh1_2	1.0472
232	32	gapdh*A6_cdh1_2	1.0493
233	33	gapdh*A6_cdh1_2	1.0566
234	34	gapdh*A6_cdh1_2	1.068
235	35	gapdh*A6_cdh1_2	1.0884
236	36	gapdh*A6_cdh1_2	1.1298
237	37	gapdh*A6_cdh1_2	1.21
238	38	gapdh*A6_cdh1_2	1.352
239	39	gapdh*A6_cdh1_2	1.5642
240	40	gapdh*A6_cdh1_2	1.8325
241	1	gapdh*A7_cdh2_1	1.0234
242	2	gapdh*A7_cdh2_1	1.0257
243	3	gapdh*A7_cdh2_1	1.0263
244	4	gapdh*A7_cdh2_1	1.0271
245	5	gapdh*A7_cdh2_1	1.027
246	6	gapdh*A7_cdh2_1	1.0277
247	7	gapdh*A7_cdh2_1	1.0276
248	8	gapdh*A7_cdh2_1	1.0257
249	9	gapdh*A7_cdh2_1	1.0263
250	10	gapdh*A7_cdh2_1	1.026
251	11	gapdh*A7_cdh2_1	1.0253
252	12	gapdh*A7_cdh2_1	1.0247
