Cycles	Run	Rn
572	12	pdgfra*B3_scr1-1	1.7205
573	13	pdgfra*B3_scr1-1	1.7197
574	14	pdgfra*B3_scr1-1	1.7203
575	15	pdgfra*B3_scr1-1	1.7211
576	16	pdgfra*B3_scr1-1	1.7224
577	17	pdgfra*B3_scr1-1	1.7221
578	18	pdgfra*B3_scr1-1	1.7228
579	19	pdgfra*B3_scr1-1	1.725
580	20	pdgfra*B3_scr1-1	1.7244
581	21	pdgfra*B3_scr1-1	1.7278
582	22	pdgfra*B3_scr1-1	1.7283
583	23	pdgfra*B3_scr1-1	1.7303
584	24	pdgfra*B3_scr1-1	1.7344
585	25	pdgfra*B3_scr1-1	1.7453
586	26	pdgfra*B3_scr1-1	1.764
587	27	pdgfra*B3_scr1-1	1.7991
588	28	pdgfra*B3_scr1-1	1.8638
589	29	pdgfra*B3_scr1-1	1.9962
590	30	pdgfra*B3_scr1-1	2.2451
591	31	pdgfra*B3_scr1-1	2.6299
592	32	pdgfra*B3_scr1-1	3.1116
593	33	pdgfra*B3_scr1-1	3.6144
594	34	pdgfra*B3_scr1-1	4.0599
595	35	pdgfra*B3_scr1-1	4.4134
596	36	pdgfra*B3_scr1-1	4.7183
597	37	pdgfra*B3_scr1-1	4.9324
598	38	pdgfra*B3_scr1-1	5.1024
599	39	pdgfra*B3_scr1-1	5.2192
600	40	pdgfra*B3_scr1-1	5.3201
601	1	pdgfra*B4_scr1-2	1.7547
602	2	pdgfra*B4_scr1-2	1.7417
603	3	pdgfra*B4_scr1-2	1.7367
604	4	pdgfra*B4_scr1-2	1.7293
605	5	pdgfra*B4_scr1-2	1.7205
606	6	pdgfra*B4_scr1-2	1.7177
607	7	pdgfra*B4_scr1-2	1.7173
608	8	pdgfra*B4_scr1-2	1.715
609	9	pdgfra*B4_scr1-2	1.7166
610	10	pdgfra*B4_scr1-2	1.7163
611	11	pdgfra*B4_scr1-2	1.7118
612	12	pdgfra*B4_scr1-2	1.7139
613	13	pdgfra*B4_scr1-2	1.7119
614	14	pdgfra*B4_scr1-2	1.7118
615	15	pdgfra*B4_scr1-2	1.7148
616	16	pdgfra*B4_scr1-2	1.7167
617	17	pdgfra*B4_scr1-2	1.7133
618	18	pdgfra*B4_scr1-2	1.7168
619	19	pdgfra*B4_scr1-2	1.714
620	20	pdgfra*B4_scr1-2	1.7175
621	21	pdgfra*B4_scr1-2	1.7185
622	22	pdgfra*B4_scr1-2	1.7181
623	23	pdgfra*B4_scr1-2	1.7191
624	24	pdgfra*B4_scr1-2	1.7263
625	25	pdgfra*B4_scr1-2	1.7368
626	26	pdgfra*B4_scr1-2	1.7547
627	27	pdgfra*B4_scr1-2	1.787
628	28	pdgfra*B4_scr1-2	1.851
629	29	pdgfra*B4_scr1-2	1.9793
630	30	pdgfra*B4_scr1-2	2.221
631	31	pdgfra*B4_scr1-2	2.6024
632	32	pdgfra*B4_scr1-2	3.0766
633	33	pdgfra*B4_scr1-2	3.5726
634	34	pdgfra*B4_scr1-2	4.014
635	35	pdgfra*B4_scr1-2	4.3779
636	36	pdgfra*B4_scr1-2	4.6667
